Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
740823,Soccer - Non Regulation,02/04/2024 09:00:00 AM,02/04/2024 07:00:00 PM,Parks Department,Sport - Youth,Manhattan,"Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-75 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Soccer-10 ,Randall's Island Park: Sunken Garden Fields-Soccer-91",,N/A,"11,","25,"
743204,Celebration,03/22/2024 11:00:00 AM,03/22/2024 12:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Ladies' Pavilion,,N/A,"64,","22,"
745335,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 09:00:00 AM,Parks Department,Sport - Adult,Queens,Kennedy Playground /Raymond O'Connor: Soccer-01,,N/A,"11,","111,"
738514,Celebration,03/24/2024 01:00:00 PM,03/24/2024 03:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Ladies' Pavilion,,N/A,"64,","22,"
741931,Soccer -Regulation,02/04/2024 10:00:00 AM,02/04/2024 11:00:00 AM,Parks Department,Sport - Adult,Queens,Kissena Corridor West: Soccer-01,,N/A,"07,","109,"
741092,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 10:00:00 AM,Parks Department,Sport - Adult,Manhattan,Booker T. Washington Playground: Soccer-01,,N/A,"07,","24,"
742538,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 10:00:00 AM,Parks Department,Sport - Adult,Brooklyn,Bill Brown Playground: Soccer-01,,N/A,"15,","61,"
748359,Soccer - Non Regulation,02/04/2024 09:00:00 AM,02/04/2024 12:00:00 PM,Parks Department,Sport - Youth,Queens,Triborough Bridge Playground B: Soccer-01,,N/A,"1,","114,"
753425,"Vigils Sept 7, 14, 28, 2024 - Nativity BVM, OL Sorrows, St Michael",09/28/2024 07:30:00 PM,09/28/2024 10:30:00 PM,Parks Department,Special Event,Queens,Flushing Meadows Corona Park: Vatican Pavillion,,N/A,"81,","110,"
679790,Lawn Closure Date closed for season,02/04/2024 12:00:00 AM,02/04/2024 11:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Bowling Green Lawn,,N/A,"64,","22,"
738554,Celebration,03/06/2024 01:30:00 PM,03/06/2024 03:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Cop Cot,,N/A,"64,","22,"
754084,Football - Youth,01/31/2024 03:00:00 PM,01/31/2024 05:00:00 PM,Parks Department,Sport - Youth,Manhattan,Randall's Island Park: Wards Meadow Fields-Soccer-74,,N/A,"11,","25,"
743007,Celebration,02/29/2024 02:00:00 PM,02/29/2024 04:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Cop Cot,,N/A,"64,","22,"
753737,Lacrosse,02/04/2024 08:00:00 AM,02/04/2024 11:00:00 AM,Parks Department,Sport - Youth,Brooklyn,Red Hook Recreation Area: Soccer-05,,N/A,"6,","76,"
740908,Soccer -Regulation,02/04/2024 08:00:00 AM,02/04/2024 05:00:00 PM,Parks Department,Sport - Youth,Staten Island,Cpl. Thompson Park: Soccer-01,,N/A,"01,","120,"
748064,Soccer -Regulation,02/04/2024 09:00:00 AM,02/04/2024 10:00:00 AM,Parks Department,Sport - Adult,Brooklyn,"Parade Ground: Soccer-08A ,Parade Ground: Soccer-08B",,N/A,"14,","70,"
